Sample,Time (s),AI0 - Center- F5 (°C),AI2 - F4 (°C),AI3 - E5 (°C),AI5 - F6 (°C),AI6 - G5 (°C)
309,01:44.0,30.611,29.351,27.917,26.405,30.191
310,01:44.3,29.855,28.625,26.863,25.152,29.485
311,01:44.7,29.19,27.983,26.133,24.404,28.992
312,01:45.0,28.584,27.629,25.755,24.708,28.996
313,01:45.4,28.596,27.677,25.813,24.724,28.798
314,01:45.7,28.285,27.546,25.595,24.567,28.378
315,01:46.0,27.733,26.929,25.122,24.438,28.183
316,01:46.4,27.562,27.007,25.232,24.938,28.258
317,01:46.7,27.402,27.052,25.288,25.518,28.434
318,01:47.0,27.603,27.295,25.558,25.977,28.638
319,01:47.4,27.714,27.299,25.584,26.315,28.759
320,01:47.7,27.714,27.24,25.558,26.002,28.657
321,01:48.0,27.423,27.031,25.38,25.441,28.179
322,01:48.4,27.021,26.678,25.147,24.822,27.74
323,01:48.7,26.807,26.677,25.086,24.674,27.579
324,01:49.1,26.637,26.625,24.916,24.536,27.482
325,01:49.4,26.548,26.668,24.931,24.485,27.309
326,01:49.7,26.436,26.573,24.899,24.747,27.26
327,01:50.1,26.426,26.547,24.741,24.547,27.064
328,01:50.4,26.162,26.17,24.589,24.412,26.835
329,01:50.7,25.853,25.651,24.036,23.619,26.244
330,01:51.1,25.375,25.159,23.629,23.217,25.753
331,01:51.4,25.026,24.887,23.37,23.366,25.499
332,01:51.7,24.847,24.822,23.41,23.262,25.527
333,01:52.1,24.742,24.756,23.347,23.263,25.648
334,01:52.4,24.678,24.653,23.306,23.336,25.357
335,01:52.8,24.435,24.342,23.174,23.177,25.313
336,01:53.1,24.208,24.078,22.853,23.16,25.108
337,01:53.4,23.96,23.908,22.765,23.016,24.985
338,01:53.8,23.784,23.834,22.689,22.852,24.876
339,01:54.1,23.771,23.907,22.787,22.842,24.761
340,01:54.4,23.702,23.886,22.789,22.864,24.755
341,01:54.8,23.726,23.984,22.67,22.608,24.532
342,01:55.1,23.539,23.861,22.612,22.611,24.337
343,01:55.4,23.339,23.688,22.471,22.565,24.165
344,01:55.8,23.229,23.663,22.469,22.619,24.094
345,01:56.1,23.166,23.589,22.425,22.678,24.156
346,01:56.5,23.249,23.718,22.546,22.729,24.273
347,01:56.8,23.198,23.669,22.502,22.753,24.317
348,01:57.1,23.166,23.648,22.469,22.914,24.352
349,01:57.5,23.111,23.625,22.517,22.958,24.432
350,01:57.8,23.109,23.533,22.382,22.689,24.238
351,01:58.1,23.034,23.429,22.351,22.579,24.177
352,01:58.5,22.9,23.278,22.197,22.297,23.94
353,01:58.8,22.845,23.244,22.324,22.582,23.909
354,01:59.2,22.809,23.242,22.319,22.633,23.973
355,01:59.5,22.816,23.246,22.325,22.626,23.864
356,01:59.8,22.747,23.267,22.357,22.672,23.924
357,02:00.2,22.751,23.252,22.319,22.466,23.824
358,02:00.5,22.701,23.134,22.264,22.575,23.763
359,02:00.8,22.665,23.002,22.14,22.326,23.601
360,02:01.2,22.724,23.129,22.313,22.598,23.716
361,02:01.5,22.815,23.317,22.41,22.663,23.759
362,02:01.8,22.778,23.201,22.297,22.248,23.535
363,02:02.2,22.649,23.063,22.265,22.275,23.415
364,02:02.5,22.605,22.903,22.208,22.302,23.381
